実質原系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,
10-12.,"125,818.20","70,163.20","68,737.00","58,129.70","6,391.10","18,177.10","2,347.50","22,299.00","10,886.30",-71.3,"-2,945.80","14,115.90","17,061.70","-1,428.80",,"4,756.40","130,574.60","1,446.60","2,259.00",812.4,"132,021.20",,"129,535.60","96,837.70","32,716.20",,"34,964.10",,"123,682.70"
2003/ 1- 3.,"121,043.50","69,008.60","68,050.20","57,392.90","5,979.10","20,482.40","-3,964.00","22,471.90","10,455.00",24.8,"-2,741.10","13,844.00","16,585.10",-673.4,,"4,423.80","125,467.20","2,276.60","2,970.50",693.9,"127,743.80",,"124,473.30","91,929.10","32,585.80",,"36,627.40",,"124,355.70"
4- 6.,"119,975.90","68,158.90","66,835.50","56,120.30","6,001.00","16,988.50","1,912.10","22,685.40","7,490.50",13,"-2,221.70","13,800.20","16,021.90","-1,051.80",,"4,527.20","124,503.20","1,787.40","2,627.60",840.2,"126,290.50",,"122,980.20","92,864.60","30,116.40",,"30,252.70",,"118,163.70"
7- 9.,"122,907.60","69,516.90","68,088.90","57,305.70","6,605.60","18,984.90",75.3,"22,444.20","8,298.00",-27.8,"-2,023.50","14,478.50","16,502.00",-966,,"4,538.40","127,446.00","2,479.80","3,134.00",654.2,"129,925.80",,"125,698.40","95,134.40","30,561.00",,"33,651.00",,"122,732.60"
10-12.,"128,197.10","71,196.60","69,656.70","58,843.00","6,456.60","18,993.20","1,897.10","22,799.90","9,982.30",-134.7,"-1,767.70","15,623.30","17,391.00","-1,226.30",,"4,634.00","132,831.10","1,749.20","2,427.50",678.3,"134,580.20",,"130,702.20","98,355.70","32,354.80",,"35,064.60",,"126,511.20"
2004/ 1- 3.,"124,842.20","69,966.70","68,899.80","58,028.00","6,123.70","21,229.10","-2,947.20","22,976.30","9,642.70",-47.1,"-1,477.20","15,855.50","17,332.70",-624.7,,"4,544.00","129,386.20","2,744.80","3,320.20",575.4,"132,131.00",,"126,935.80","94,654.70","32,306.70",,"36,786.30",,"127,356.90"
4- 6.,"122,558.60","69,090.30","67,775.40","56,863.40","6,213.80","17,403.50","2,241.50","22,863.00","6,704.60",10.4,"-1,296.90","16,274.30","17,571.10",-671.7,,"4,186.90","126,745.50","2,301.10","3,168.00",866.9,"129,046.60",,"124,319.50","94,733.90","29,568.60",,"30,155.50",,"120,444.50"
7- 9.,"125,923.60","71,022.90","69,601.00","58,649.50","6,740.70","19,865.00",254.1,"22,631.10","7,469.40",14.8,"-1,493.20","16,611.30","18,104.50",-581.2,,"4,166.80","130,090.50","2,779.80","3,465.20",685.4,"132,870.30",,"127,887.90","97,829.50","30,032.90",,"33,928.60",,"125,547.20"
10-12.,"129,558.00","71,473.50","69,909.30","58,919.30","6,693.50","19,560.60","2,397.30","22,915.50","9,150.90",6.6,"-1,843.40","17,303.50","19,146.90",-796.6,,"4,367.20","133,925.20","2,246.70","3,094.60",847.9,"136,171.80",,"131,762.40","99,903.70","31,850.80",,"35,122.30",,"127,282.30"
2005/ 1- 3.,"126,229.30","70,568.50","69,513.20","58,502.80","6,181.30","22,430.40","-3,174.90","23,212.70","9,232.40",86.3,"-1,868.60","16,594.60","18,463.20",-438.8,,"4,128.80","130,358.10","3,097.00","3,910.70",813.7,"133,455.10",,"128,498.30","96,208.10","32,304.20",,"37,705.30",,"128,925.10"
4- 6.,"124,613.10","70,100.50","68,767.80","57,718.00","6,091.90","19,191.90","2,160.90","23,075.80","5,884.20",-13.6,"-1,541.90","17,145.20","18,687.10",-336.5,,"3,460.10","128,073.30","2,567.80","3,846.90","1,279.10","130,641.10",,"126,448.90","97,412.70","29,001.40",,"31,131.20",,"122,546.10"
7- 9.,"128,461.40","72,089.40","70,631.10","59,544.20","6,711.30","21,959.90",-59.6,"22,706.90","6,792.30",3.7,"-1,461.60","17,919.10","19,380.70",-281,,"3,086.30","131,547.70","3,358.10","4,229.40",871.3,"134,905.80",,"130,201.00","100,685.10","29,473.70",,"35,437.20",,"128,378.10"
10-12.,"132,650.20","73,104.60","71,483.50","60,359.10","6,754.20","20,816.40","1,909.10","23,115.70","8,358.90",-24.8,-826.6,"19,087.80","19,914.50",-557.3,,"2,911.00","135,561.10","2,669.50","3,935.70","1,266.20","138,230.60",,"133,780.80","102,451.80","31,303.90",,"35,754.90",,"130,792.90"
2006/ 1- 3.,"129,409.40","72,068.90","70,951.10","59,803.40","6,280.20","23,311.60","-3,296.00","23,109.00","8,962.70",42.7,-787.9,"18,938.30","19,726.10",-281.9,,"2,496.60","131,906.00","4,172.80","5,194.30","1,021.50","136,078.80",,"130,440.70","98,505.40","31,924.90",,"38,464.80",,"132,339.30"
4- 6.,"126,299.00","70,885.70","69,545.40","58,349.80","6,199.00","19,566.70","1,714.70","23,177.60","5,752.80",-14.9,-851.5,"18,983.70","19,835.20",-131.1,,"2,168.40","128,467.40","3,001.80","4,749.70","1,748.00","131,469.10",,"127,285.60","98,287.60","28,967.10",,"31,488.00",,"124,602.00"
7- 9.,"128,657.40","71,660.70","70,176.00","58,942.50","6,694.00","21,824.00",-91.4,"22,851.70","6,170.10",4.3,-328.7,"19,651.40","19,980.10",-127.4,,"1,905.90","130,563.30","4,021.50","5,155.70","1,134.20","134,584.80",,"129,141.40","100,066.10","29,040.80",,"34,684.10",,"128,613.50"
10-12.,"134,613.90","73,901.70","72,229.40","60,965.10","6,673.20","21,475.80","1,894.70","23,179.20","7,913.90",-17.4,-35.6,"20,464.50","20,500.20",-371.5,,"2,262.20","136,876.10","2,967.60","4,712.10","1,744.50","139,843.70",,"134,864.00","103,868.20","30,965.60",,"35,950.50",,"132,716.70"
2007/ 1- 3.,"132,214.30","72,590.50","71,465.90","60,160.80","6,191.70","24,353.70","-2,473.20","23,338.50","8,274.00",2.4,162.8,"20,333.60","20,170.90",-226.1,,"2,278.60","134,493.00","4,980.90","6,258.80","1,277.90","139,473.80",,"132,233.90","100,726.50","31,491.20",,"38,807.60",,"134,499.80"
4- 6.,"128,525.10","71,769.90","70,480.90","59,129.80","5,990.40","19,809.90","1,887.30","23,521.50","5,336.40",29.6,187.2,"20,483.50","20,296.20",-7.3,,"1,700.50","130,225.60","3,737.40","5,744.70","2,007.30","133,963.00",,"128,428.50","99,437.30","28,955.30",,"31,144.60",,"126,553.60"
7- 9.,"130,503.90","72,515.70","71,038.20","59,660.80","5,909.40","21,696.40",145,"23,141.80","5,972.10",-2.6,"1,097.80","21,399.30","20,301.40",28.4,,"1,395.20","131,899.10","4,446.00","6,029.40","1,583.50","136,345.00",,"129,474.00","100,307.50","29,129.40",,"33,617.10",,"130,239.90"
10-12.,"135,437.90","73,819.60","72,197.00","60,797.80","5,286.10","21,038.80","2,406.70","23,689.30","7,700.90",11.2,"1,522.70","22,613.30","21,090.60",-37.4,,611.3,"136,049.20","3,232.00","5,231.20","1,999.10","139,281.30",,"133,960.70","102,609.90","31,326.70",,"33,992.00",,"132,957.80"
2008/ 1- 3.,"132,804.70","72,821.70","71,710.60","60,276.00","5,157.50","24,056.70","-2,519.20","23,704.30","7,922.60",46.6,"1,653.60","22,496.30","20,842.80",-39.1,,126.6,"132,931.30","4,993.90","6,117.10","1,123.20","137,925.20",,"131,174.60","99,563.10","31,598.80",,"37,172.30",,"135,189.90"
4- 6.,"128,007.90","70,580.30","69,316.30","57,827.00","5,244.60","19,354.90","2,626.40","23,375.00","5,064.80",-11,"1,646.90","21,697.90","20,050.90",125.8,,-982.8,"127,025.10","2,753.20","4,700.50","1,947.30","129,778.30",,"126,375.90","97,861.80","28,478.70",,"29,704.20",,"125,317.00"
7- 9.,"129,206.60","71,992.60","70,516.70","58,993.40","5,763.80","21,082.40",-301.4,"23,031.20","5,736.20",-31,"1,829.80","22,183.80","20,354.00",103,,"-1,823.20","127,383.40","3,951.30","5,022.10","1,070.80","131,334.70",,"127,352.00","98,569.70","28,747.30",,"32,617.60",,"129,434.30"
