2007,,,,,,,,,,,,,,,,,,,,,,,,
,,（３）石油製品国内向月別販売 / Domestic Sales of Petroleum Products by Month,,,,,,,,,,,,,,,,,,,,"（単位：kl、アスファルト以下：ｔ/Unit:kl, from Ashalt onward is Ton)",,
,,,,,,,,,,,,,,,,,,,,,,,"Year, Quarter & Month",
,,年 月,,,,燃料油計,ガソリン,ナフサ,ジェット,灯油,軽油,重油,,,潤滑油,アスファルト,グリース,パラフィン,液化石油ガス,,,液化天然ガス,,
,,,,,,,,,燃料油,,,,Ａ重油,Ｂ・Ｃ重油,,,,,,"P・P, P・B",B・B,,,
,,,,,,Total of Fuel Products,Gasoline,Naphtha,Jet Fuel,Kerosene,Gas Oil,Fuel Oil Total,Fuel Oil A,Fuel Oil B･C,Lubricating Oil,Asphalt,Grease,Paraffin Wax,LPG,,,ＬＮＧ,,
,16,,,4,,"16,048,220","4,768,778","3,725,346","449,773","1,823,309","2,734,501","2,546,513","1,335,104","1,211,409","165,135","172,432","5,553","4,627","1,234,531","913,058","321,473","5,872,585",Apr.,16
,17,,,5,,"14,116,948","4,604,872","3,648,781","370,869","787,874","2,369,114","2,335,438","1,024,464","1,310,974","124,729","175,466","4,856","4,499","1,262,388","829,493","432,895","5,196,553",May,17
,18,,,6,,"14,359,008","4,616,187","3,440,646","518,239","740,220","2,651,721","2,391,995","1,120,258","1,271,737","144,536","196,135","5,601","5,379","1,118,764","773,948","344,816","6,029,197",Jun.,18
,19,,,7,,"15,621,472","5,303,063","3,620,762","458,388","627,849","2,849,478","2,761,932","1,085,748","1,676,184","141,467","194,637","5,609","5,682","1,046,226","666,625","379,601","5,856,382",Jul.,19
,20,,,8,,"16,181,549","5,565,479","3,959,235","480,280","659,506","2,745,903","2,771,146","1,049,907","1,721,239","130,537","206,983","5,251","4,687","1,160,746","775,501","385,245","6,911,390",Aug.,20
,21,,,9,,"15,704,054","4,982,898","3,743,472","499,973","855,146","2,902,278","2,720,287","1,096,075","1,624,212","146,513","204,044","5,671","3,958","1,143,604","715,000","428,604","6,316,290",Sep.,21
,22,,,10,,"15,708,701","4,773,708","4,216,152","433,756","1,130,894","2,699,710","2,454,481","1,134,794","1,319,687","145,623","228,584","5,600","7,336","962,389","643,973","318,416","5,696,985",Oct.,22
,23,,,11,,"16,804,739","4,758,795","4,143,438","441,952","1,935,199","2,888,829","2,636,526","1,324,583","1,311,943","155,820","258,927","5,928","4,265","1,174,157","862,891","311,266","6,386,380",Nov.,23
,24,,,12,,"19,080,597","5,229,804","4,225,752","436,859","3,044,987","3,018,777","3,124,418","1,601,478","1,522,940","157,256","258,368","5,608","4,350","1,392,984","1,034,383","358,601","6,615,782",Dec.,24
,,,,,,,,,,,,,,,,,,,,,,,,
